id,code,name,address_1,address_2,cp,city,state
1,LRM,Lerma,Carr Amomolulco,"Ocoyoacac, Estado de México",52740,Ocoyoacac,Estado de México
2,CTT,Constituyentes,Av Constituyentes 980,"Lomas Altas, CDMX",11950,Miguel Hidalgo,CDMX
3,FLC,Florencia,Florencia 36,"Juárez, CDMX",6600,Cuautémoc,CDMX
4,MIX,Mixcoac,Calle Canova 106,"Insurgentes Mixcoac, CDMX",3920,Álvaro Obregón,CDMX
5,PZF,Plaza Fortuna,Av fortuna 334,"Magdalena de las Salinas,  CDMX",7760,Gustavo A. Madero,CDMX
6,XOL,Xola,Xola 1367,"Narvarte Poniente, CDMX",6050,Benito Juarez,CDMX
7,MLR,Moliere,Prol. Moliere 480," Moliere, CDMX",1219,Miguel Hidalgo,CDMX
8,PSF,Patio Santa Fe,Vasco de Quiroga 200-400,"Zedec Sta Fé, sótano 3, CDMX",1219,Álvaro Obregón,CDMX
9,PTN,Patio Tlalpan,Av. Insurgentes Sur 4177,"Tlalpan, CDMX",14420,Tlalpan,CDMX
